id,name,label,commonPestIn
D001,水稻条纹叶枯病,水稻病害,"长江中下游稻区,华北稻区,东北稻区"
D002,稻瘟病,水稻病害,"所有地区"
D003,水稻纹枯病,水稻病害,"所有地区"
D004,稻曲病,水稻病害,"所有地区"
D005,水稻恶苗病,水稻病害,"所有地区"
D006,水稻胡麻斑病,水稻病害,"所有地区"
D007,水稻白叶枯病,水稻病害,"所有地区"
D008,水稻黑条矮缩病,水稻病害,"所有地区"
D009,南方水稻黑条矮缩病,水稻病害,"所有地区"
D010,水稻谷枯病,水稻病害,"所有地区"
D011,稻苗疫霉病,水稻病害,"所有地区"
D012,水稻叶鞘腐败病,水稻病害,"所有地区"
D013,稻粒黑粉病,水稻病害,"所有地区"
D014,水稻干尖线虫病,水稻病害,"所有地区"
D015,水稻旱青立病,水稻病害,"所有地区"
D016,水稻赤枯病,水稻病害,"所有地区"
