id,name,label
PR01,河北,省份
PR02,辽宁,省份
PR03,吉林,省份
PR04,黑龙江,省份
PR05,山东,省份
PR06,江苏,省份
PR07,浙江,省份
PR08,安徽,省份
PR09,福建,省份
PR10,江西,省份
PR11,广东,省份
PR12,广西,省份
PR13,海南,省份
PR14,河南,省份
PR15,湖南,省份
PR16,湖北,省份
PR17,山西,省份
PR18,内蒙古,省份
PR19,宁夏,省份
PR20,青海,省份
PR21,陕西,省份
PR22,甘肃,省份
PR23,新疆,省份
PR24,四川,省份
PR25,贵州,省份
PR26,云南,省份
PR27,重庆,省份
PR28,西藏,省份
PR29,台湾,省份
PR30,北京,省份
PR31,天津,省份
PR32,上海,省份
